"Occupation","Gender","TaxBracket","variable","value","unit"
"8419 Other Farm, Forestry and Garden Workers","Female","b. $18,201 to $37,000","Number of individuals",2020,NA
"8419 Other Farm, Forestry and Garden Workers","Female","c. $37,001 to $80,000","Number of individuals",1050,NA
"8419 Other Farm, Forestry and Garden Workers","Female","d. $80,001 to $180,000","Number of individuals",124,NA
"8419 Other Farm, Forestry and Garden Workers","Female","e. $180,000 or more","Number of individuals",22,NA
"8419 Other Farm, Forestry and Garden Workers","Male","a. $18,200 or less","Number of individuals",4529,NA
"8419 Other Farm, Forestry and Garden Workers","Male","b. $18,201 to $37,000","Number of individuals",4947,NA
"8419 Other Farm, Forestry and Garden Workers","Male","c. $37,001 to $80,000","Number of individuals",7241,NA
"8419 Other Farm, Forestry and Garden Workers","Male","d. $80,001 to $180,000","Number of individuals",1004,NA
"8419 Other Farm, Forestry and Garden Workers","Male","e. $180,000 or more","Number of individuals",75,NA
"8511 Fast Food Cooks","Female","All","Number of individuals",14287,NA
"8511 Fast Food Cooks","Male","All","Number of individuals",20139,NA
"8512 Food Trades Assistants","Female","All","Number of individuals",6992,NA
"8512 Food Trades Assistants","Male","All","Number of individuals",3006,NA
"8513 Kitchenhands","Female","a. $18,200 or less","Number of individuals",16680,NA
"8513 Kitchenhands","Female","b. $18,201 to $37,000","Number of individuals",21679,NA
"8513 Kitchenhands","Female","c. $37,001 to $80,000","Number of individuals",10939,NA
"8513 Kitchenhands","Female","d. $80,001 to $180,000","Number of individuals",279,NA
"8513 Kitchenhands","Female","e. $180,000 or more","Number of individuals",26,NA
"8513 Kitchenhands","Male","a. $18,200 or less","Number of individuals",20911,NA
"8513 Kitchenhands","Male","b. $18,201 to $37,000","Number of individuals",16117,NA
"8513 Kitchenhands","Male","c. $37,001 to $80,000","Number of individuals",6127,NA
"8513 Kitchenhands","Male","d. $80,001 to $180,000","Number of individuals",224,NA
"8513 Kitchenhands","Male","e. $180,000 or more","Number of individuals",32,NA
"8910 Freight Handlers and Shelf Fillers - type not specified","Female","All","Number of individuals",2,NA
"8910 Freight Handlers and Shelf Fillers - type not specified","Male","All","Number of individuals",42,NA
"8911 Freight and Furniture Handlers","Female","All","Number of individuals",499,NA
"8911 Freight and Furniture Handlers","Male","a. $18,200 or less","Number of individuals",787,NA
"8911 Freight and Furniture Handlers","Male","b. $18,201 to $37,000","Number of individuals",1469,NA
"8911 Freight and Furniture Handlers","Male","c. $37,001 to $80,000","Number of individuals",3782,NA
"8911 Freight and Furniture Handlers","Male","d. $80,001 to $180,000","Number of individuals",3843,NA
"8911 Freight and Furniture Handlers","Male","e. $180,000 or more","Number of individuals",122,NA
"8912 Shelf Fillers","Female","a. $18,200 or less","Number of individuals",1791,NA
"8912 Shelf Fillers","Female","b. $18,201 to $37,000","Number of individuals",3393,NA
"8912 Shelf Fillers","Female","c. $37,001 to $80,000","Number of individuals",1429,NA
"8912 Shelf Fillers","Female","d. $80,001 to $180,000","Number of individuals",27,NA
"8912 Shelf Fillers","Male","All","Number of individuals",11435,NA
"8991 Caretakers","Female","All","Number of individuals",900,NA
"8991 Caretakers","Male","All","Number of individuals",2591,NA
"8992 Deck and Fishing Hands","Female","All","Number of individuals",863,NA
"8992 Deck and Fishing Hands","Male","a. $18,200 or less","Number of individuals",778,NA
"8992 Deck and Fishing Hands","Male","b. $18,201 to $37,000","Number of individuals",1317,NA
"8992 Deck and Fishing Hands","Male","c. $37,001 to $80,000","Number of individuals",2754,NA
"8992 Deck and Fishing Hands","Male","d. $80,001 to $180,000","Number of individuals",3370,NA
"8992 Deck and Fishing Hands","Male","e. $180,000 or more","Number of individuals",405,NA
"8993 Handypersons","Female","All","Number of individuals",277,NA
"8993 Handypersons","Male","a. $18,200 or less","Number of individuals",1722,NA
"8993 Handypersons","Male","b. $18,201 to $37,000","Number of individuals",3383,NA
"8993 Handypersons","Male","c. $37,001 to $80,000","Number of individuals",4995,NA
"8993 Handypersons","Male","d. $80,001 to $180,000","Number of individuals",424,NA
"8993 Handypersons","Male","e. $180,000 or more","Number of individuals",28,NA
"8994 Motor Vehicle Parts and Accessories Fitters","Female","All","Number of individuals",115,NA
"8994 Motor Vehicle Parts and Accessories Fitters","Male","a. $18,200 or less","Number of individuals",814,NA
"8994 Motor Vehicle Parts and Accessories Fitters","Male","b. $18,201 to $37,000","Number of individuals",2076,NA
"8994 Motor Vehicle Parts and Accessories Fitters","Male","c. $37,001 to $80,000","Number of individuals",6707,NA
"8994 Motor Vehicle Parts and Accessories Fitters","Male","d. $80,001 to $180,000","Number of individuals",1056,NA
"8994 Motor Vehicle Parts and Accessories Fitters","Male","e. $180,000 or more","Number of individuals",38,NA
"8995 Printing Assistants and Table Workers","Female","All","Number of individuals",1050,NA
"8995 Printing Assistants and Table Workers","Male","All","Number of individuals",2043,NA
"8996 Recycling and Rubbish Collectors","Female","All","Number of individuals",115,NA
"8996 Recycling and Rubbish Collectors","Male","All","Number of individuals",2653,NA
"8997 Vending Machine Attendants","Female","All","Number of individuals",527,NA
"8997 Vending Machine Attendants","Male","All","Number of individuals",385,NA
"8999 Other Miscellaneous Labourers","Female","a. $18,200 or less","Number of individuals",6868,NA
"8999 Other Miscellaneous Labourers","Female","b. $18,201 to $37,000","Number of individuals",6665,NA
"8999 Other Miscellaneous Labourers","Female","c. $37,001 to $80,000","Number of individuals",4678,NA
"8999 Other Miscellaneous Labourers","Female","d. $80,001 to $180,000","Number of individuals",797,NA
"8999 Other Miscellaneous Labourers","Female","e. $180,000 or more","Number of individuals",67,NA
"8999 Other Miscellaneous Labourers","Male","a. $18,200 or less","Number of individuals",24901,NA
"8999 Other Miscellaneous Labourers","Male","b. $18,201 to $37,000","Number of individuals",32544,NA
"8999 Other Miscellaneous Labourers","Male","c. $37,001 to $80,000","Number of individuals",44728,NA
"8999 Other Miscellaneous Labourers","Male","d. $80,001 to $180,000","Number of individuals",10217,NA
"8999 Other Miscellaneous Labourers","Male","e. $180,000 or more","Number of individuals",857,NA
"9133 Consultant - construction manager","Female","All","Number of individuals",135,NA
"9133 Consultant - construction manager","Male","a. $18,200 or less","Number of individuals",42,NA
"9133 Consultant - construction manager","Male","b. $18,201 to $37,000","Number of individuals",84,NA
"9133 Consultant - construction manager","Male","c. $37,001 to $80,000","Number of individuals",262,NA
"9133 Consultant - construction manager","Male","d. $80,001 to $180,000","Number of individuals",421,NA
"9133 Consultant - construction manager","Male","e. $180,000 or more","Number of individuals",129,NA
"9221 Consultant - tax accountant","Female","a. $18,200 or less","Number of individuals",65,NA
"9221 Consultant - tax accountant","Female","b. $18,201 to $37,000","Number of individuals",184,NA
"9221 Consultant - tax accountant","Female","c. $37,001 to $80,000","Number of individuals",418,NA
"9221 Consultant - tax accountant","Female","d. $80,001 to $180,000","Number of individuals",178,NA
"9221 Consultant - tax accountant","Female","e. $180,000 or more","Number of individuals",24,NA
"9221 Consultant - tax accountant","Male","a. $18,200 or less","Number of individuals",66,NA
"9221 Consultant - tax accountant","Male","b. $18,201 to $37,000","Number of individuals",196,NA
"9221 Consultant - tax accountant","Male","c. $37,001 to $80,000","Number of individuals",468,NA
"9221 Consultant - tax accountant","Male","d. $80,001 to $180,000","Number of individuals",268,NA
"9221 Consultant - tax accountant","Male","e. $180,000 or more","Number of individuals",58,NA
"9222 Consultant - financial investment","Female","a. $18,200 or less","Number of individuals",51,NA
"9222 Consultant - financial investment","Female","b. $18,201 to $37,000","Number of individuals",125,NA
"9222 Consultant - financial investment","Female","c. $37,001 to $80,000","Number of individuals",454,NA
"9222 Consultant - financial investment","Female","d. $80,001 to $180,000","Number of individuals",307,NA
"9222 Consultant - financial investment","Female","e. $180,000 or more","Number of individuals",79,NA
"9222 Consultant - financial investment","Male","a. $18,200 or less","Number of individuals",116,NA
"9222 Consultant - financial investment","Male","b. $18,201 to $37,000","Number of individuals",161,NA
"9222 Consultant - financial investment","Male","c. $37,001 to $80,000","Number of individuals",552,NA
"9222 Consultant - financial investment","Male","d. $80,001 to $180,000","Number of individuals",587,NA
"9222 Consultant - financial investment","Male","e. $180,000 or more","Number of individuals",394,NA
"9223 Consultant - human resources","Female","a. $18,200 or less","Number of individuals",341,NA
"9223 Consultant - human resources","Female","b. $18,201 to $37,000","Number of individuals",688,NA
"9223 Consultant - human resources","Female","c. $37,001 to $80,000","Number of individuals",2084,NA
"9223 Consultant - human resources","Female","d. $80,001 to $180,000","Number of individuals",1466,NA
"9223 Consultant - human resources","Female","e. $180,000 or more","Number of individuals",181,NA
"9223 Consultant - human resources","Male","a. $18,200 or less","Number of individuals",128,NA
"9223 Consultant - human resources","Male","b. $18,201 to $37,000","Number of individuals",257,NA
"9223 Consultant - human resources","Male","c. $37,001 to $80,000","Number of individuals",778,NA
"9223 Consultant - human resources","Male","d. $80,001 to $180,000","Number of individuals",785,NA
"9223 Consultant - human resources","Male","e. $180,000 or more","Number of individuals",173,NA
"9224 Consultant - management","Female","a. $18,200 or less","Number of individuals",483,NA
"9224 Consultant - management","Female","b. $18,201 to $37,000","Number of individuals",841,NA
"9224 Consultant - management","Female","c. $37,001 to $80,000","Number of individuals",2301,NA
"9224 Consultant - management","Female","d. $80,001 to $180,000","Number of individuals",2664,NA
"9224 Consultant - management","Female","e. $180,000 or more","Number of individuals",798,NA
"9224 Consultant - management","Male","a. $18,200 or less","Number of individuals",746,NA
"9224 Consultant - management","Male","b. $18,201 to $37,000","Number of individuals",1220,NA
"9224 Consultant - management","Male","c. $37,001 to $80,000","Number of individuals",2814,NA
"9224 Consultant - management","Male","d. $80,001 to $180,000","Number of individuals",5142,NA
"9224 Consultant - management","Male","e. $180,000 or more","Number of individuals",2542,NA
"9225 Consultant - marketing and public relations","Female","a. $18,200 or less","Number of individuals",297,NA
"9225 Consultant - marketing and public relations","Female","b. $18,201 to $37,000","Number of individuals",529,NA
"9225 Consultant - marketing and public relations","Female","c. $37,001 to $80,000","Number of individuals",1290,NA
"9225 Consultant - marketing and public relations","Female","d. $80,001 to $180,000","Number of individuals",735,NA
"9225 Consultant - marketing and public relations","Female","e. $180,000 or more","Number of individuals",102,NA
"9225 Consultant - marketing and public relations","Male","a. $18,200 or less","Number of individuals",148,NA
"9225 Consultant - marketing and public relations","Male","b. $18,201 to $37,000","Number of individuals",280,NA
"9225 Consultant - marketing and public relations","Male","c. $37,001 to $80,000","Number of individuals",629,NA
"9225 Consultant - marketing and public relations","Male","d. $80,001 to $180,000","Number of individuals",645,NA
"9225 Consultant - marketing and public relations","Male","e. $180,000 or more","Number of individuals",197,NA
"9232 Consultant - urban and regional planner","Female","All","Number of individuals",161,NA
"9232 Consultant - urban and regional planner","Male","a. $18,200 or less","Number of individuals",14,NA
"9232 Consultant - urban and regional planner","Male","b. $18,201 to $37,000","Number of individuals",22,NA
"9232 Consultant - urban and regional planner","Male","c. $37,001 to $80,000","Number of individuals",56,NA
"9232 Consultant - urban and regional planner","Male","d. $80,001 to $180,000","Number of individuals",101,NA
"9232 Consultant - urban and regional planner","Male","e. $180,000 or more","Number of individuals",17,NA
"9233 Consultant - engineering","Female","a. $18,200 or less","Number of individuals",44,NA
"9233 Consultant - engineering","Female","b. $18,201 to $37,000","Number of individuals",61,NA
"9233 Consultant - engineering","Female","c. $37,001 to $80,000","Number of individuals",220,NA
"9233 Consultant - engineering","Female","d. $80,001 to $180,000","Number of individuals",235,NA
